CUSIP,MASTER_DEAL_NO,NINAMES,PRINCIPALAMOUNT,EXCHANGE,INDUSTRY,MKTVALUEPF,industry_code,year,fees,offer_price
580037,1099117009,McDermott International Inc,15.375,New York,Pers/Bus/Rep Svc,1141.5,8,1995,0.75,15.375
860342,1099118009,Stewart & Stevenson Services,10.6,Nasdaq,Manufacturing,850.9,3,1995,2.12,53
42221H,1099120009,HealthTrust Inc-The Hospital,49,New York,Healthcare,,8,1995,0.77,14
464330,1099133009,Isis Pharmaceuticals Inc,2.5,Nasdaq,Manufacturing,,2,1995,0.75,12.5
204932,1099139009,CompUSA Inc,18.182,New York,Retail,201.1,5,1995,1,15
208464,1099140009,Conseco Inc,29.575,New York,Insurance,4795.9,6,1995,4.83,57
812007,1099144009,Seagull Energy Corp,7.725,New York,Gas Distribution,,4,1995,1.1,25.75
983919,1099146009,Xilinx Inc,12.5,Nasdaq,Manufacturing,,3,1995,1,25
121897,1099148009,Burlington Northern Inc,64.35,New York,Transportation,3045.3,4,1995,0.98,35.75
194162,1099149009,Colgate-Palmolive Co,115,New York,Manufacturing,3124.1,2,1995,1.2,40
440327,1099151009,Horace Mann Educators Corp,37.8,New York,Insurance,,6,1995,0.99,18
749651,1099154009,ROC Taiwan Fund,31.825,New York,Other Finance,,6,1995,1.087,21.75
059438,1099157009,"BANC ONE Corp,Columbus,Ohio",74.175,New York,Commercial Bank,12870.4,6,1995,1.07,43
382550,1099161009,Goodyear Tire & Rubber Co,135,New York,Manufacturing,,3,1995,1.48,50
421933,1099162009,Health Management Assoc Inc,17.034,New York,Healthcare,312.6,8,1995,1.33,28
720035,1099167009,PictureTel Corp,14.4,Nasdaq,Manufacturing,176.6,3,1995,1.8,36
693475,1099168009,"PNC Financial,Pittsburgh,PA",88.234,New York,Commercial Bank,4513.9,6,1995,1.18,42.625
92532F,1099172009,Vertex Pharmaceuticals Inc,5.5,Nasdaq,Manufacturing,,2,1995,,13.75
23571Y,1099173009,Damon Corporation,22.2,New York,Manufacturing,,3,1995,,18.5
008488,1099175009,Agouron Pharmaceuticals Inc,9.625,Nasdaq,Manufacturing,,2,1995,1.15,19.25
073304,1099177009,BE Avionics Inc,11.5,Nasdaq,Manufacturing,,3,1995,0.65,11.5
518279,1099178009,Latin America Investment Fund,18,New York,Investment Fund,,6,1995,1.05,15
26633L,1099179009,Duracell International Inc,69,New York,Manufacturing,,3,1995,1.08,28.75
228255,1099183009,Crown Cork & Seal Co,20.194,New York,Manufacturing,2674.6,3,1995,2,89.75
337358,1099184009,"First Union Corp,Charlotte,NC",48.516,New York,Commercial Bank,3333.3,6,1995,3.13,28.125
802183,1099190009,Santa Fe Pacific Corp,48.516,New York,Transportation,1621.6,4,1995,0.41,9.375
G90751,1099191009,Triton Energy Corp,22.8,New York,Natural Resource,,1,1995,,38
171196,1099197009,Chrysler Corp,58.219,New York,Manufacturing,,3,1995,4.64,10.125
316866,1099206009,Filene's Basement Corp,14.52,Nasdaq,Retail,,5,1995,4.77,22
589580,1099207009,Meridian Bancorp Inc,11.4,Nasdaq,Commercial Bank,,6,1995,3.47,19
126920,1099211009,Cabletron Systems Inc,25.875,New York,Manufacturing,,3,1995,3.49,45
747262,1099215009,QVC Network Inc,7.313,Nasdaq,Radio/TV/Telecom,,4,1995,0.77,14.625
143658,1099233009,Carnival Cruise Lines Inc,38.818,New York,Restaurant/Hotel,3123.6,7,1995,3.53,21.5
417119,1099234009,Hartmarx Corp,8.17,New York,Retail,234.1,5,1995,4.74,9.5
87911D,1099235009,Teknekron Communications Sys,12.5,Nasdaq,Pers/Bus/Rep Svc,,7,1995,,10
832388,1099237009,Smith's Food & Drug Centers,34.96,New York,Retail,1161.4,5,1995,3.95,38
887315,1099238009,Time Warner,300,New York,Leisure,,7,1995,,80
007923,1099240009,Advanced Telecommunications,9.5,Nasdaq,Telephone Commun,396.1,4,1995,4.1,19
170032,1099241009,Chiquita Brands International,59.575,New York,Agriculture,,0,1995,3.44,43.625
698462,1099243009,Panhandle Eastern Corp,29.67,New York,Natural Resource,1124.5,1,1995,4.09,10.75
320245,1099252009,First Financial Management,27.7,New York,Pers/Bus/Rep Svc,1094.9,7,1995,3.25,34.625
707832,1099253009,Penn Traffic Co,8.4,Nasdaq,Retail,,5,1995,5.25,24
904677,1099260009,Unifi Inc,20.745,New York,Manufacturing,765.4,2,1995,3.76,33.25
460334,1099263009,International Specialty Prods,58.723,New York,Manufacturing,,2,1995,5.26,15.5
422660,1099274009,Hechinger Co,8.4,Nasdaq,Retail,491,5,1995,,12
922126,1099275009,Varco International Inc,6.65,New York,Manufacturing,587.2,3,1995,5,9.5
543859,1099276009,Loral Corp,32.2,New York,Manufacturing,41383.8,3,1995,,40.25
755267,1099280009,Readers Digest Association Inc,95.594,New York,Manufacturing,3969.6,2,1995,3,33.25
74342A,1099283009,Promus Cos Inc,19,New York,Restaurant/Hotel,638.4,7,1995,4.47,19
749651,1099284009,ROC Taiwan Fund,43.5,New York,Other Finance,,6,1995,1.17,23.375
92889V,1099295009,"Vons Companies, Inc (The)",56,New York,Retail,,5,1995,,28
124800,1099297009,CBI Industries Inc,20.588,New York,Manufacturing,765.5,2,1995,,45.75
618447,1099303009,Morrison-Knudsen Corp,16.215,New York,Construction,,1,1995,3.94,47
05616J,1099304009,BWIP Holdings Inc,23.2,New York,Manufacturing,,3,1995,,14.5
007948,1099305009,Advanced Logic Research Inc,1.875,Nasdaq,Manufacturing,,3,1995,,12.5
451841,1099306009,Illinois Central Corp,16.988,Nasdaq,Transportation,,4,1995,4.61,18.875
52323X,1099309009,"Lechters, Inc.",9.261,New York,Retail,,5,1995,4.8,26
026375,1099311009,American Greetings Corp,28.07,Nasdaq,Manufacturing,2236.4,2,1995,,35.375
422893,1099312009,Heilig-Meyers Co,10.7,New York,Retail,336.4,5,1995,4.49,26.75
036115,1099313009,AnnTaylor Stores Corp,35.561,New York,Retail,2247,5,1995,5.76,26
480074,1099317009,Jones Apparel Group Inc,15.4,New York,Manufacturing,,2,1995,6.43,14
405024,1099327009,Haemonetics Corp,29.766,New York,Manufacturing,463.3,3,1995,6.59,22
960402,1099330009,Westinghouse Electric Corp,119.25,New York,Manufacturing,8299.5,3,1995,3.29,26.5
862111,1099331009,Storage Technology Corp,35.363,New York,Manufacturing,2851.3,3,1995,4,41
628855,1099332009,"NCNB Corp,Charlotte,NC",64.256,New York,Commercial Bank,4260,6,1995,2.73,37.25
767754,1099333009,Rite Aid Corp,34,New York,Retail,35466.7,5,1995,,42.5
778303,1099335009,Ross Systems Inc,5.5,Nasdaq,Pers/Bus/Rep Svc,,7,1995,,10
339130,1099342009,Fleming Cos Inc,33.12,New York,Retail,1265.3,5,1995,,36
63633F,1099344009,Natl Health Laboratories Inc,224.869,New York,Healthcare,,8,1995,4.03,17.875
129598,1099345009,Calgene Inc,6,Nasdaq,Agriculture,,0,1995,,6
12878K,1099346009,Caldor Corporation (The),21.63,New York,Retail,,5,1995,7,21
441815,1099347009,Household International Inc,14.1,New York,Credit Inst.,1817.6,6,1995,3,47
55262C,1099348009,MBIA Inc,70,New York,Insurance,1339.4,6,1995,3.43,35
460254,1099349009,International Rectifier Corp,18.48,New York,Manufacturing,344.2,3,1995,4.36,22
317867,1099350009,Fingerhut Cos(Primerica Corp),22.364,New York,Retail,589.4,5,1995,4.25,25.625
437076,1099351009,Home Depot Inc,120.75,New York,Retail,7094.7,5,1995,2.84,56
081721,1099353009,Beneficial Corp,32.559,New York,Credit Inst.,1463.8,6,1995,2.49,56.625
74960K,1099355009,RJR Nabisco Holdings Corp,310.5,New York,Manufacturing,,2,1995,4.44,11.25
